developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
WayForward,26,14.15,81.83,28319
KONAMI,26,20.43,73.91,282638
GameOn Production,26,7.81,68.21,519
My Label Game Studio,26,9.99,61.49,332
Taranau Aliaksei,26,3.49,58.33,13
Bonittor Games,26,0.54,55.43,356
Reddiamondgames,26,0.51,,0
Schwan OG,25,0.51,88.89,22
Objectif 3D,25,0.0,82.95,340
SNK CORPORATION,25,15.01,81.16,44576
LoadUpGames.com,25,1.27,65.42,47
Tegridy Made Games,25,0.44,61.55,689
Valkyria Games,25,1.96,59.3,259
FlagmanJeremy,25,0.85,56.72,662
PaulArt,25,0.52,52.43,401
INFINITE BRIDGE,25,0.55,49.72,265
Michael Richard Lannon,25,3.64,33.68,49
Loolust,25,1.76,,0
PopCap Games,24,1.87,92.59,184343
Mens Sana Interactive,24,1.45,88.92,2616
Crew Lab,24,0.68,88.14,6197
SMU Guildhall,24,0.0,86.32,2187
Relic Entertainment,24,5.78,84.04,283807
DillyFrame,24,0.77,82.25,375
Firaxis Games,24,7.08,81.81,997299
SOFTSTAR ENTERTAINMENT,24,5.81,81.23,18831
Daedalic Entertainment,24,2.43,80.18,69980
Heart's Choice,24,4.21,78.64,270
Crisp App Studio,24,4.98,78.6,1686
Appetite,24,6.7,77.25,106
Graphium Studio,24,6.45,72.54,268
ZERO5GAMES,24,1.45,70.62,1243
ERMedia,24,3.74,47.22,118
Lieon Games,24,0.77,45.0,20
8floor ltd,24,11.24,,0
lightUP,23,2.42,91.72,347
SEEP,23,1.53,88.1,978
L. Stotch,23,1.75,85.44,15745
id Software,23,5.96,84.3,635276
LucasArts,23,5.08,82.37,54882
Rebellion,23,7.1,81.98,203506
Mad Head Games,23,5.75,78.85,6888
Aldorlea Games,23,1.78,74.78,2371
DigiPen Europe-Bilbao,23,0.0,74.13,830
e-FunSoft Games,23,4.46,73.17,365
Meng Games,23,1.25,68.77,1639
Rawi Studio,23,191.34,68.7,85
CyberLink,23,27.29,66.25,227
Big Ant Studios,23,28.73,65.03,13070
Kiddy,23,1.5,63.2,9581
Sonic-Alpha,23,0.66,59.04,247
VIS-Games,23,5.65,55.52,4089
baKno Games,23,22.16,48.63,293
Very Very LITTLE Studio,22,1.07,95.87,2888
Walter Machado,22,0.47,88.39,6029
Sacada,22,4.7,87.67,796
Spike Chunsoft Co.,22,12.51,83.81,186041
Ubisoft,22,3.9,74.2,279549
Dovetail Games,22,14.54,74.0,116810
Eidos-Montréal,22,4.18,73.91,458432
Valkeala Software,22,0.74,73.24,373
BanzaiProject,22,3.3,70.86,556
Artur Rezende,22,0.51,70.69,512
Melon Games,22,5.81,55.53,73
冷笑黑妖,21,0.47,91.18,4377
SQRT3,21,13.26,89.91,316
Boomzap Inc,21,5.61,87.33,527
Strategy Game Studio,21,13.56,83.66,816
Ocean Software,21,3.18,76.8,242
Enaayah Software Development and Services Private Limited,21,0.9,73.69,437
EGAMER,21,1.24,70.91,11056
Balti Calarasi,21,0.51,63.14,1305
Entropy Digital Entertainment,21,9.56,,0
Spiderweb Software,20,6.48,88.25,4784
CHARON,20,9.27,86.43,783
SCS Software,20,3.89,85.28,1056411
Astronomic Games,20,0.95,78.7,1721
Brave Giant LTD,20,3.29,75.48,4823
Paul Connor,20,1.92,74.79,148
AFBIK Studio,20,0.47,74.63,1876
Ironcode Gaming,20,4.89,74.37,188
USERJOY Technology Co.,20,3.98,74.33,23296
FreezeNova,20,1.13,69.95,6517
ACQUIRE Corp.,20,9.15,69.62,9022
Brewsterland Studios,20,0.75,66.2,190
