developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
白露社,6,3.16,93.35,8636
The Behemoth,6,6.86,93.28,207746
Blyts,6,4.07,93.21,1854
Curiosity Computing,6,15.66,93.06,144
Business Tycoon,6,3.6,92.9,1029
Marudice,6,7.81,92.69,280
Image & Form Games,6,1.26,92.64,26615
ustwo games,6,4.26,92.53,24752
Navel,6,18.45,92.5,5557
Hentai X,6,0.49,92.31,39
Ma Ma Software,6,0.66,92.14,126
Dotoyou Games,6,1.79,92.12,379
FHNBHJ,6,3.54,91.87,771
Cloak and Dagger Games,6,2.21,91.7,5496
Blue Wizard Digital,6,2.38,91.57,7715
Futurtech,6,8.32,91.37,690
InnerspaceVR,6,3.82,91.34,2254
Potata Company,6,3.29,91.23,579
TTeokLeaf,6,2.49,91.05,58
琉璃花糖制作组,6,1.98,90.97,1585
Frictional Games,6,3.45,90.88,103788
TenkaiGames,6,3.24,90.67,618
Leonardo Alexandrino,6,1.59,90.56,50
Estoty,6,2.78,90.54,1728
DarkLight Studio,6,0.56,90.52,1232
Knuckle Cracker,6,5.81,90.3,12280
Maestro Cinetik,6,8.14,90.2,1025
Authogin,6,3.07,90.05,637
Shawn Kilian,6,0.69,90.0,25
Last Day of Work,6,9.99,89.96,752
Rusty Moyher,6,3.29,89.85,722
Ithaqua Labs,6,1.9,89.77,753
Jesse Makkonen,6,2.3,89.73,18432
Coffee Stain Studios,6,8.49,89.63,320363
Y.Kageyama,6,2.04,89.58,87
Artless Games,6,2.56,89.56,1659
Midori Games / みどりげーむず,6,1.49,89.44,251
Paul Bird,6,3.12,89.35,3229
Lucaciu Studio,6,1.49,89.33,18
Darius Immanuel Guerrero,6,1.32,89.32,487
Naoka Games,6,0.69,89.23,397
louis morel,6,0.0,89.07,357
Llamasoft Ltd.,6,6.91,89.04,658
DXF Games,6,5.82,89.01,217
riinwin,6,4.43,89.0,164
AZAMATIKA,6,1.33,88.97,5222
Two Star Games,6,1.79,88.9,21376
Kenny Sun,6,2.87,88.87,992
Brenntkopf Development,6,0.84,88.84,411
Jordan Allen,6,2.49,88.81,183
NEXT Studios,6,7.0,88.8,54612
Krome Studios,6,4.53,88.65,6340
RPGames,6,1.85,88.58,205
Vixa Games,6,5.63,88.5,1105
Primula,6,8.87,88.49,2698
Punx Studios,6,2.42,88.46,627
VR Designs,6,14.77,88.44,2161
Silver Dollar Games,6,0.67,88.4,20893
Nicalis,6,3.03,88.23,352932
Bolder Games,6,3.99,88.14,61
Christopher V. Costello,6,0.99,88.06,37
Ige Olwen,6,14.12,88.04,128
Hyperstrange,6,5.61,88.0,16802
CyberConnect2 Co. Ltd.,6,11.66,87.94,179436
Mad Mimic,6,5.97,87.75,2022
Renka,6,3.32,87.74,1502
Hothead Games,6,6.66,87.73,2759
Melos Han-Tani,6,7.12,87.6,2999
SK Soft,6,11.94,87.5,9
熊窝dodox,6,7.49,87.46,8312
Moonana,6,4.14,87.43,1322
Legend Entertainment,6,2.01,87.37,100
derevotyan,6,1.21,87.36,220
mokosoft,6,2.28,87.32,76
Bolverk Games,6,9.49,86.89,545
NatsumeAtari,6,11.7,86.8,3842
Terrible Posture Games,6,6.89,86.78,3442
Antonio Freyre,6,1.66,86.63,978
Awesome Games Studio,6,2.14,86.58,32466
AploveStudio,6,1.59,86.4,171
DONTNOD Entertainment,6,2.33,86.35,272153
AIHASTO,6,4.02,86.24,112273
Ubisoft Montpellier,6,5.24,86.23,51503
Gamious,6,3.87,86.22,20206
Pixelsplit,6,4.48,86.22,2857
Team Grybanser Fox,6,9.16,86.21,382
Purple Software,6,10.16,86.18,541
Ice-Pick Lodge,6,3.21,86.16,19219
Quantized Bit,6,1.24,86.08,1450
Luna Apps,6,2.82,86.07,162
Pandemic Studios,6,3.57,85.85,61278
Battlecruiser Games,6,3.49,85.72,5112
Salamandra88,6,3.13,85.66,1259
FM Studio,6,1.66,85.54,807
Funktronic Labs,6,7.49,85.52,2022
Red Triangle Games,6,0.94,85.52,105
Neko Game,6,0.84,85.5,2642
John Szymanski,6,5.7,85.47,5248
Alawar Stargaze,6,1.69,85.4,1104
FromLefcourt,6,2.59,85.33,632
MythicOwl,6,1.83,85.32,1937
Cosmocat,6,4.16,85.21,89
MONKEYCRAFT Co. Ltd.,6,15.04,85.18,11488
Megu Studio,6,0.91,85.17,63
Revolution Software Ltd,6,5.17,85.02,7615
Street Art Studios,6,0.67,84.92,223
Fantasy Flight Games,6,1.17,84.85,2707
Clarus Victoria,6,3.17,84.8,4501
Kiririn,6,1.0,84.73,217
RobProductions,6,7.24,84.71,56
Red Kraken studio,6,4.24,84.66,139
Gas Powered Games,6,2.39,84.48,36704
Amonga99,6,4.04,84.46,177
E McNeill,6,9.13,84.42,364
The Binary Mill,6,4.39,84.23,1325
illuCalab,6,13.54,84.23,2032
永恆艾莉絲工坊,6,7.9,84.16,423
InArcade,6,11.57,84.13,333
KomBits Game Studio,6,1.3,84.09,408
Radiangames,6,6.76,83.91,1423
Rank17,6,2.66,83.81,146
Valorware,6,4.74,83.79,1208
TOM CREATE CO.,6,4.83,83.64,18
Corrosive Studios LLC,6,3.82,83.58,555
Clockwork Origins,6,7.53,83.57,136
Mediatonic,6,6.85,83.54,484144
Pathea Games,6,6.12,83.53,82928
PikPok,6,10.99,83.51,9078
Playdek,6,5.07,83.5,6218
MyDearest Inc.,6,9.32,83.39,884
SAARSE,6,0.99,83.33,28
0 Deer Soft,6,2.98,83.26,1400
Red Storm Entertainment,6,2.07,83.19,4309
Hajime Doujin Circle,6,4.21,83.0,1047
Temple Gates Games,6,5.36,82.95,2673
Vendel Games,6,4.26,82.67,74
Pixelatto,6,0.95,82.66,19312
Unfinished Pixel,6,3.24,82.65,747
Korvinrular,6,1.19,82.56,636
Digital Crafter,6,4.93,82.42,1734
LogLog Games,6,2.08,82.21,95
Vagabond Dog,6,1.38,82.1,2916
17Studio,6,14.16,81.91,276
RainbowStudio,6,2.87,81.87,509
Ice-Cold Shivering Studios,6,6.66,81.82,25
キラ☆タマ,6,13.32,81.82,66
Mitsuki Game Studio,6,2.65,81.68,285
Sixteen Tons Entertainment,6,11.34,81.58,4440
PolarityFlow,6,7.33,81.51,293
Arcadia,6,6.37,81.41,681
TheDollarGameStore,6,1.66,81.37,58
LUXO Interactive,6,0.63,81.26,892
Studio Fizbin,6,2.33,81.24,5412
Yummy Yummy Studio,6,0.54,81.24,504
WildSphere,6,6.17,81.23,328
Crackshell,6,4.62,81.21,22688
Lieb,6,6.49,81.19,73
WarfareSims,6,0.0,81.16,721
David Moralejo Sánchez,6,2.66,81.1,9065
Pyro Studios,6,2.49,81.01,10513
AVANTGARDE,6,11.29,80.89,883
QLOC,6,10.32,80.8,186936
Knight Owl Games,6,3.99,80.78,1013
deadworld games,6,0.69,80.73,315
Harebrained Schemes,6,9.16,80.72,61475
Starmyth,6,2.66,80.68,150
Destructive Creations,6,4.77,80.63,35447
Lola Fisher,6,0.86,80.55,43
Popcannibal,6,6.14,80.55,9850
Flying Star Games,6,7.32,80.53,348
Steve Gal,6,1.66,80.45,1189
studio wasp,6,0.83,80.36,80
SUPERita,6,1.08,80.24,121
Somi,6,2.72,80.19,11803
Sinclair Strange,6,1.74,80.13,975
GosDev Production,6,0.41,80.12,8462
Tyler L,6,0.34,80.07,58
RAYBIS GAMES,6,1.96,80.06,78
SUNSOFT,6,8.96,79.94,879
危途旅行团TravellersOnHazard,6,0.46,79.88,39
peakvox,6,5.64,79.73,1158
Subsoap,6,3.91,79.72,3703
Rain Games,6,3.19,79.68,3557
GOCORE,6,2.24,79.64,3181
Retro Army Limited,6,1.22,79.57,3029
MachineGames,6,11.66,79.49,150331
VuVuu,6,1.74,79.4,78
Caipirinha Games GmbH,6,4.66,79.37,48
BottleCube inc.,6,0.49,79.26,728
Mehsoft,6,0.99,79.21,2854
Commodore Sinapsy,6,2.82,79.17,12
NAPE GAMES,6,9.33,79.11,75
DEKLAZON,6,1.34,79.03,522
Icehelm,6,1.04,79.01,324
Crystal Shard,6,3.03,78.94,1461
Astra Playroom,6,0.51,78.93,401
Dangerous Derk Interactive,6,13.49,78.93,74
Hidden Ocean Games,6,4.41,78.82,38
Eurocom,6,4.52,78.67,1845
Sir-Tech,6,2.69,78.65,984
Vincent Lade,6,3.72,78.64,821
Voxel Bytes,6,0.94,78.55,507
Secret Labo,6,1.61,78.37,3319
Lazy Bear Games,6,5.38,78.35,67682
DRAGAMI GAMES,6,11.16,78.1,2995
Daniel Brendel,6,0.0,78.09,198
谭浩翔,6,1.15,77.86,419
AzatotGames,6,0.87,77.78,9
Lucas Fernandez,6,2.32,77.78,10
Size Five Games,6,2.37,77.76,3259
Doubleton Game Studio,6,6.49,77.74,58
Redbrick Studios Ltd,6,14.99,77.25,130
Ubisoft Mainz,6,14.74,77.11,28459
DeilRoXEntertainment,6,2.29,77.09,44
the Bratans,6,1.11,76.99,27746
Skylor Beck,6,3.64,76.67,96
Gaijin Games,6,3.24,76.65,8211
netmin games,6,7.78,76.55,342
RetroBug,6,1.19,76.39,283
FirePillar2,6,3.2,76.28,794
Draw Distance,6,3.83,76.11,8881
Ilmir Nasertdinov,6,2.39,76.1,58
Goblinz Studio,6,3.08,76.01,8902
btf,6,7.61,75.97,2421
Flump Studios,6,1.04,75.94,1350
Room710Games,6,1.49,75.86,7468
randomcreations,6,3.16,75.71,100
Kerberos Productions,6,3.12,75.64,2845
Shorebound Studios,6,1.25,75.38,1484
Duality Games,6,3.57,75.36,7234
Deck13,6,3.31,75.2,24213
Marco Amadei,6,3.73,75.18,12164
Tortuga Team,6,2.08,75.17,5161
Game Studio Abraham Stolk Inc.,6,8.83,75.06,159
4Kids,6,4.99,75.0,3
Perg Valley,6,2.46,75.0,16
Rivardus,6,0.66,75.0,8
Saibot Studios,6,2.08,74.63,5494
Labyrinthine,6,0.52,74.62,2866
Prince Game Studio,6,4.66,74.6,131
kan.kikuchi,6,2.39,74.55,234
Witte Studio,6,3.76,74.44,786
MobileFusion Apps Ltd,6,6.83,74.41,54
Crenetic GmbH Studios,6,2.24,74.26,4502
Source Byte Sp. z o.o.,6,1.62,74.12,96
Celeritas Games,6,5.56,73.94,591
Red Limb Studio,6,3.87,73.87,1537
Xatrix Entertainment,6,9.91,73.77,753
Ritual Games,6,0.97,73.71,489
The Chinese Room,6,11.38,73.6,27359
Brouillard,6,10.99,73.32,472
Bitmap Bureau,6,9.45,73.3,826
historia Inc.,6,4.58,73.28,418
Game-Labs,6,14.41,73.27,25170
Yurii Nikshych,6,0.6,73.15,60
StudioS,6,5.13,73.06,284
白信鸽工作室,6,2.32,72.94,124
Trophy Games,6,0.42,72.59,709
Sproing,6,2.57,72.58,1101
XOCUS,6,9.24,72.56,427
Adam Stępiński,6,7.99,72.5,43
rentaka,6,2.2,72.17,135
Elephant Games AR,6,8.16,72.03,18
1C:InoCo,6,0.83,72.0,2952
N-Fusion Interactive,6,3.63,71.97,1263
Future Lighthouse,6,0.0,71.6,141
Spellbook,6,6.83,71.46,896
Malfador Machinations,6,1.58,71.36,802
Wenkly Studio Sp. z o.o.,6,8.22,71.26,1073
NullReferenceException,6,1.16,71.19,53
Digitalmindsoft,6,6.86,71.12,73792
Appy Monkeys Software Pvt. Ltd.,6,5.66,70.79,89
FastGame,6,1.99,70.79,777
Adam DeLease,6,2.16,70.58,764
raptor lab,6,5.99,70.12,4099
Kunstaat,6,4.59,70.1,149
SimBin,6,5.66,70.04,3037
A Thousand Myths,6,3.62,70.0,17
青灯独酌,6,0.97,69.99,115
Behaviour Interactive Inc.,6,4.91,69.95,803204
INORK Game,6,4.49,69.88,34
Red Meat Games,6,2.54,69.83,274
Sergey Bobrov,6,8.66,69.68,364
chenjd,6,2.62,69.43,165
John Wizard,6,1.66,69.36,557
Alda Games,6,2.66,69.3,15934
OrionSoft,6,4.11,69.17,100
Madmind Studio,6,7.66,68.69,13122
Soccer Manager Ltd,6,0.0,68.58,3143
Ground Shatter,6,9.28,68.36,5327
Priory Games,6,2.23,68.35,130
Celery Emblem™,6,3.88,68.33,225
Splash Damage,6,2.5,68.06,84469
Infinite Interactive,6,5.36,67.96,3095
Cyanide Studios,6,13.32,67.71,15013
Shotx,6,2.22,67.64,376
Thor Gaming,6,1.49,67.53,40
Ino-Co Plus,6,5.53,67.23,4740
UPLAY Online,6,8.16,67.2,18614
Christopher Cinq-Mars Jarvis,6,1.79,67.19,255
T-Bull,6,3.16,66.73,1522
SomeTimesAtNight,6,2.1,66.67,6
Crow's Perch,6,6.86,66.66,8
Light Game,6,5.66,66.55,88
DangerousBob Studio LLC,6,5.42,66.18,444
Makivision Games,6,2.52,65.68,161
ChaoYe Liu,6,7.22,65.62,305
HA Studio Ltd.,6,0.66,65.41,1013
Arafkan Games,6,2.92,65.21,136
Grey Dog Software,6,19.16,64.77,690
Dragon Slumber,6,1.31,64.55,739
Anshar Studios,6,9.39,64.52,3479
Revolt Games,6,1.47,64.44,143
3DDUO,6,0.85,64.22,405
Kvass Da Valenki,6,2.17,64.12,117
Joy Way,6,11.08,63.64,2840
Tale of Tales,6,9.82,63.56,2538
Funny Games,6,0.45,63.18,1074
BananaDogGames,6,3.99,63.05,230
GamesFromTheOtherSide,6,2.29,62.67,38
Gravity Interactive,6,0.0,62.63,5299
Moondolino,6,15.02,62.41,303
2MEDYA,6,3.23,62.33,238
CaRacing Studio,6,0.0,61.87,50
Akella,6,4.12,61.49,3076
Nitx Games,6,1.42,61.11,17
TB Games,6,2.26,60.83,12972
Bamtang Games,6,10.16,60.79,1310
HeroLabs,6,1.86,60.24,1128
Silent Dreams,6,1.21,60.15,7794
Camel 101,6,5.13,59.75,1589
Cradle Games,6,13.47,58.98,5152
Bit Planet Games,6,11.33,58.87,780
BefuddleBug,6,2.32,58.14,85
SolitaryStudios,6,1.46,58.06,254
Reality Pump,6,2.59,57.74,4528
Dolores Entertainment,6,4.95,57.67,268
EddysssGames,6,1.62,57.6,50
Dikobraz Games,6,0.92,57.36,190
Elder Games,6,5.44,57.11,2434
Useless Machines,6,0.49,56.81,240
FeelThere,6,28.57,56.73,1777
Cyber752,6,1.99,56.66,20
Gestmorph Games,6,1.0,56.57,157
Soiree Games,6,2.49,56.41,22
Sometimes You,6,0.54,56.16,3022
Indiecode Games,6,0.0,56.13,491
Luiz Felipe Da Silva Marian,6,1.16,55.63,110
azucat,6,9.91,55.28,46
24Frame,6,3.99,54.62,1230
Suzuki Cecil,6,29.57,54.5,40
GalaxyVerse,6,5.16,53.91,280
Midnight Games,6,2.94,53.1,1695
Dexter Studios,6,9.82,52.73,34
Frederik Holst,6,2.33,52.58,37
Mykel Flynn,6,5.66,52.52,111
Egor Magurin,6,1.05,52.1,2396
Forever Young Games,6,2.91,50.72,75
LikeGames,6,5.82,50.56,79
VRMonkey,6,2.86,50.26,118
2 Barrel Arts,6,3.47,50.0,2
Dingdang,6,0.91,50.0,2
Hypothesys_indie_Dev,6,1.11,50.0,2
Source Byte,6,2.22,50.0,15
WGI GAMING,6,4.99,50.0,2
ReHarmony Games,6,199.99,48.97,40
Diggidy.net,6,3.99,48.79,465
DreamsSoftGames,6,2.49,47.7,373
Squad Cell,6,1.62,47.22,13
Dreamatrix,6,4.74,46.59,254
Deceptive Games,6,1.22,46.44,802
Narko Games,6,0.82,46.16,1218
D1ONE,6,4.99,45.81,261
Mew Games,6,3.19,45.24,26
Silver Cloud Games,6,14.32,44.05,12
KOEX studio,6,4.14,43.89,314
Idea Cabin,6,2.41,43.85,660
TwoDogs,6,4.7,42.59,13
Com2uS,6,0.0,42.11,19
Displacement Studios,6,2.82,41.73,148
Builder7,6,4.49,40.87,25
Salsawi,6,1.82,40.59,176
Pixel Fox,6,0.74,39.93,66
Nuts and Volts Electronics,6,0.85,37.98,39
Daniel Seman,6,3.66,36.66,189
Tainted Games,6,2.99,35.35,170
Bootur Games,6,1.4,34.51,43
13-lab,6,0.33,34.48,192
Gamesoft Studios,6,3.24,34.11,35
As-key,6,6.33,33.33,13
Male Doll Adventures,6,3.38,33.33,9
Thetis Games,6,13.54,32.43,141
Mindscape,6,8.99,31.72,47
ZZYZX RD game studios,6,2.49,30.39,20
Carlo D'Apostoli Projects,6,0.89,30.28,51
RenPixel,6,0.71,30.21,42
PhantomCore Studio,6,0.99,26.04,31
Axe Games,6,0.82,24.35,202
F-Games,6,1.17,13.89,43
Matnogames,6,0.99,0.0,2
SE {} KS,6,10.99,0.0,5
74games,6,3.07,,0
AhrpuXR,6,19.99,,0
Casket,6,7.49,,0
Coolpeng,6,11.66,,0
DIG Publishing,6,1.03,,0
Dreamers Workshop,6,3.83,,0
Entertainment Software International,6,2.22,,0
Happy Fish,6,1.53,,0
Hoi Hoi Hoi,6,6.26,,0
Kenningsly,6,4.24,,0
LarsMidnatt,6,3.33,,0
Mark Ainsworth,6,3.16,,0
Matryoshka,6,0.0,,0
Mikoko,6,1.49,,0
Morf Games,6,1.16,,0
Pink Tea,6,4.43,,0
R2 Games,6,0.0,,0
Shady Corner Games,6,8.49,,0
Softened Cookie,6,0.59,,0
Team Tea Mascot,6,3.39,,0
fap girls,6,2.99,,0
the NineLust Studios,6,4.49,,0
walkgame,6,3.16,,0
やぶから堂,6,11.11,,0
3ichael 7ambert,5,4.99,100.0,1
Alexis Clemente,5,1.49,100.0,10
BHPG,5,54.99,100.0,1
BrotherWood Games,5,7.0,100.0,20
DoubleTapStudio,5,54.99,100.0,5
Fasold Publishing,5,1.84,100.0,5
IzukawaN,5,1.59,100.0,25
Jofer's Games,5,0.2,100.0,2
Judox Studio,5,2.59,100.0,1
Mr Chip Software,5,4.79,100.0,1
Nekomata Games LLC,5,7.24,100.0,7
Nicholas Brakespear,5,3.99,100.0,1
PJ.Unreally,5,3.27,100.0,10
Pollapee,5,4.14,100.0,19
Pretty Fly Games,5,0.76,100.0,67
SeikaGames,5,1.79,100.0,2
SmartGames,5,2.39,100.0,2
Smobile,5,4.39,100.0,4
Stacy Story Games,5,2.57,100.0,1
Wanech,5,0.45,100.0,4
かべろくん,5,0.4,100.0,2
绅士游戏工坊,5,3.18,100.0,4
Kowloon Drop Bear,5,1.69,98.98,53
Rabbiton,5,2.29,98.73,2551
Zeekerss,5,3.24,98.26,491589
Grade 9 Games,5,0.99,98.25,60
Nightmare Emporium,5,2.99,98.08,77
Samuel Leigh,5,0.4,98.0,31
Ultimo Games,5,2.99,97.86,398
AvoCavo,5,3.8,97.83,4727
Konrad Pawlikowski,5,1.59,97.78,146
MyGrandfather Games,5,1.85,97.64,546
Matt Roszak,5,4.59,97.48,11769
Enigmatic Network,5,10.82,97.44,207
Hamumu Games,5,7.34,97.43,278
Boolat Games,5,3.34,97.28,781
ほんわかふわふわ,5,1.03,96.94,60
Butterfly,5,0.6,96.88,26
Nimavoha Interactive,5,2.58,96.88,30
Sean Marty,5,1.89,96.67,14
Top Evidence Studio,5,2.99,96.67,21
ZeNfA Productions,5,0.87,96.67,38
Ludogram,5,9.15,96.59,360
Emberheart Games,5,4.17,96.58,1084
YUZUSOFT,5,19.44,96.58,54120
A. Hagen,5,1.2,96.32,388
くそいサイト,5,4.31,96.27,591
PixelFade,5,5.47,96.24,3824
chimp,5,4.63,96.19,57
Matt Glanville,5,1.8,96.08,496
FzzyBzzy,5,1.49,96.05,71
Outis Media,5,0.96,95.98,174
Blast Programming,5,3.89,95.84,162
Viridino Studios,5,0.83,95.82,1084
Charles Games,5,0.73,95.75,619
Suspicious Developments,5,4.09,95.58,33997
Crit42 Studio,5,3.99,95.56,37
Megalithic Mainframe,5,2.62,95.48,58
Lose,5,8.92,95.45,9741
light,5,42.99,95.29,697
BIFROST CLOUD PTE. LTD.,5,2.0,95.28,447
Fred Wood,5,2.16,95.27,1523
Odencat,5,6.05,95.26,2078
AZARASHI SOFTWARE,5,11.2,95.25,608
Torch60,5,0.0,95.09,101
LeJunesArt,5,1.05,95.04,432
PUNKCAKE Délicieux,5,3.11,94.81,274
sprite,5,18.69,94.78,9712
Josyan,5,2.79,94.74,253
FC Maker,5,14.79,94.66,1851
Supergiant Games,5,8.19,94.61,420895
Jeremy Couillard,5,2.24,94.58,471
Rad Codex,5,7.97,94.58,1863
Bryce Summer,5,2.08,94.45,278
leimonya,5,1.97,94.44,31
Lillymo Games,5,1.55,94.43,108
Smee,5,13.55,94.34,1397
Suits & Sandals,5,0.5,94.34,1711
Tymedust Games,5,1.4,94.1,90
Wired Dreams Studio,5,3.28,93.88,315
ondydev,5,4.32,93.87,409
Roshan Nowshad,5,1.24,93.83,237
Storycentric Worlds,5,7.19,93.66,137
티민이,5,0.87,93.66,78
Ofer Rubinstein,5,2.11,93.56,34
Nova-box,5,8.44,93.48,715
Crazy Retro Games,5,0.8,93.33,9
Milan Raijmakers,5,2.99,93.33,11
9 Eyes Game Studio,5,2.15,93.32,484
Kazuhide Oka,5,3.39,93.32,624
Yacht Club Games,5,12.84,93.23,17748
Beautiful Glitch,5,4.63,93.2,24551
Best Friend Games,5,8.39,93.13,77
Asmodev,5,3.56,93.11,1798
Casey Donnellan Games LLC,5,2.32,92.98,10129
AsicxArt,5,0.95,92.89,19451
MEWSTURBO,5,2.4,92.83,72
Team SNEED,5,1.42,92.69,4792
G. A. Williams,5,3.79,92.68,126
Giants Software,5,14.79,92.67,180749
Patrick Sweeney,5,1.79,92.55,80
Amanclo Video Games,5,2.47,92.38,38
Caio Flavio,5,1.31,92.33,295
@unepic_fran,5,5.11,92.27,13846
Hamster On Coke Games,5,0.95,92.23,5034
Thatcher Productions,5,3.1,92.1,21
Snarkle Studios,5,2.39,92.0,32
Mimimi Games,5,6.19,91.92,61946
Drinkbox Studios,5,4.39,91.87,22903
Five Percents,5,0.49,91.86,388
ShineProject,5,1.79,91.72,208
Lunar Workshop,5,2.72,91.67,12
Onion Games,5,11.75,91.67,512
Andymente,5,9.19,91.6,652
Adventure Awaits,5,0.61,91.53,85
NovaSoft Interactive Ltd.,5,2.99,91.51,1020
CreSpirit,5,6.68,91.14,17151
DakeCraft,5,1.54,91.11,480
HaoHao Games,5,0.99,91.11,63
Colorgrave,5,5.08,91.06,844
LuN,5,2.53,91.06,179
Yunus Ayyildiz,5,2.39,91.04,2520
SUJIKO Media Group,5,1.01,91.02,55
Fading Club,5,3.62,90.98,4089
Blue Brain Games,5,11.49,90.92,9663
RIALAB,5,0.0,90.91,22
Mango Protocol,5,3.29,90.8,1780
Kyle Rodgers,5,2.99,90.75,195
Crankage Games,5,1.36,90.72,640
FAT BOMB STUDIOS,5,1.8,90.64,1225
Cube Games,5,1.21,90.58,89
Red Skald,5,0.47,90.56,401
Magenta Factory,5,2.89,90.53,3839
Truant Pixel,5,8.35,90.5,447
Mika Pi,5,2.39,90.48,11
Nuskadamo,5,1.0,90.48,14
Hollowings,5,2.74,90.44,3176
FRENCH-BREAD,5,11.19,90.42,21067
Thylacine Studios,5,7.29,90.4,3769
Joshua Keith,5,1.99,90.33,307
Sagitta Studios,5,1.1,90.26,92
WanadevStudio,5,6.99,90.22,9401
Ali Soltanian Fard Jahromi,5,1.39,90.21,35
WubsGames,5,1.07,90.08,149
Sempiternal Rain,5,1.34,89.98,340
Joseph Cook,5,3.35,89.97,29
Team GZ,5,2.3,89.91,482
CDIS Lab.,5,9.99,89.88,136
ABX Games Studio,5,2.17,89.85,60
戴永翔(Dai Yong Xiang),5,1.11,89.79,83
Yokcos,5,3.79,89.62,109
Manic Hyena,5,0.79,89.59,2266
RGByte Software,5,5.39,89.58,14
KaleidoGames,5,1.79,89.55,277
SUPER HYPER MEGA,5,6.99,89.5,668
CelLab,5,9.53,89.43,240
Door 407,5,5.18,89.33,10245
Tango Gameworks,5,9.19,89.3,111212
Shattered Journal Games,5,1.75,89.29,317
Mana Games,5,9.99,89.26,2246
Cozy Bee Games,5,7.15,89.15,6009
MinMax Games Ltd.,5,9.59,89.12,9940
Terri Vellmann,5,2.59,89.09,9044
Joure Visser,5,3.79,89.07,411
Rusimitu,5,3.38,88.96,64
UP DEVELOPMENT LTD.,5,4.5,88.91,72
Chilling Moose Games,5,0.69,88.89,11
Daruma The Factory,5,11.79,88.89,15
Sloppy Joe Studios,5,3.79,88.89,16
Wijat,5,0.77,88.89,78
Zeboyd Digital Entertainment LLC,5,1.38,88.88,6299
あみそ組,5,2.79,88.82,1459
ARVORE,5,6.24,88.81,520
Double W,5,0.8,88.77,20224
Nementic Games,5,2.11,88.76,299
Hollow Ponds,5,8.39,88.74,1792
GFX47,5,3.84,88.66,1604
Square Wheel,5,3.06,88.59,167
Erotes Studio,5,3.66,88.55,1080
Neat Corporation,5,11.79,88.48,3128
Virtual Arts Studio,5,2.08,88.47,602
Jestercraft,5,2.14,88.39,35
Cold Beam Games,5,3.47,88.27,10934
Anvate Games,5,0.76,88.24,749
pixel games SARL-S,5,5.09,88.23,615
Actor,5,2.57,88.2,84
IMPERIAL DYNAMICS,5,0.54,88.19,36
Score Studios LLC,5,4.39,88.16,395
DYA Games,5,3.94,88.15,3596
Rolling Crown,5,6.56,88.14,1309
Heartbit Interactive,5,2.11,88.12,3192
GB Patch Games,5,0.52,88.09,13652
World's Edge,5,9.24,87.9,322322
Bedtime Digital Games,5,2.23,87.79,10384
Otis Miller,5,3.19,87.79,204
Two Tribes,5,0.78,87.76,7607
Redsroll,5,2.9,87.65,94
Reima Project,5,1.01,87.65,54
Gamechuck,5,3.39,87.6,793
Ant Workshop Ltd,5,3.58,87.56,380
Nitreal,5,13.19,87.56,275
Kedronic UAB,5,4.59,87.5,22
Stray Fawn Studio,5,6.11,87.5,15931
株式会社ワンコネクト,5,3.4,87.5,23
Baltoro Games,5,1.71,87.47,585
Dano Sato,5,1.25,87.43,29
foolsroom,5,2.2,87.38,1618
Supreme Gauntlet Games,5,0.99,87.36,72
Girls Make Games,5,3.99,87.35,99
Total Mayhem Games,5,3.46,87.29,94392
BiteMe Games,5,3.47,87.1,304
Alex Loman,5,3.41,87.07,52
Deconstructeam,5,4.02,87.02,21031
Rejet,5,27.29,87.02,1323
Professional Villains,5,1.86,86.99,455
Blue Giraffe,5,15.99,86.93,1678
Cloudhead Games Ltd.,5,8.99,86.92,7489
James Earl Cox III,5,0.0,86.89,459
Latte Games JSC,5,2.79,86.88,17
Studio Bean,5,3.72,86.84,1554
CAVYHOUSE,5,6.51,86.82,566
Atomic Lollypop,5,0.0,86.8,70
Bitten Toast Games Inc.,5,4.49,86.67,3274
ElvGames,5,3.84,86.67,79
Lasse Zacho Malver,5,3.17,86.53,1117
Deep Root Interactive,5,9.13,86.51,4721
Marafigo Games,5,1.19,86.43,32
Battenberg Software,5,1.19,86.38,308
Rebelião Studio,5,1.44,86.34,221
Roll7,5,4.41,86.26,7316
Intrepid Marmot,5,7.11,86.23,1420
Deck Nine,5,13.29,86.17,63489
KARMAGAME HK LIMITED,5,7.93,86.15,2558
Bullfrog Productions,5,2.49,86.14,1891
ひとりサークル「匙投げ部」,5,1.79,86.11,18
Edmund McMillen,5,2.75,86.06,71768
Antizero company,5,0.59,85.99,341
Entertainment Forge,5,1.6,85.97,6030
Soma Games,5,8.97,85.84,112
Absorb Reality,5,1.31,85.77,227
Tree Men Games,5,3.72,85.74,615
Neckbolt,5,3.27,85.58,1167
Purple Lamp,5,16.69,85.55,29063
Garden of Dreams,5,1.14,85.41,136
Colorfiction,5,0.49,85.4,773
LEVEL5 Inc.,5,31.41,85.33,23582
Big Blue Bubble,5,16.79,85.31,43670
Hippo Games,5,10.99,85.3,4905
Croteam VR,5,3.99,85.07,3736
TooIzzi Games,5,1.99,85.06,53
Johnny Ostad,5,2.39,85.02,64
EXPERIENCE,5,22.99,84.87,1051
K-D Lab,5,2.95,84.84,1710
oyajinojiike,5,3.21,84.81,204
Pixel vs Pixel,5,0.76,84.78,937
