developer,total_games,avg_positive_review_percentage,total_reviews
Sunward Games,13,84.42,3154
Sinister Design,3,84.41,344
Double Stallion,3,84.4,1532
Soldak Entertainment,7,84.4,1445
BANDAI NAMCO Studios Inc.,10,84.39,156302
Tobias Springer,3,84.38,14660
Robert Alvarez,5,84.37,1402
Tamsoft,9,84.35,19662
James Earl Cox III,4,84.35,425
DarkStone Digital,4,84.32,7675
YEARS,4,84.32,3034
TRIANGLE SERVICE,3,84.32,185
TECOPARK,3,84.31,33427
Schmidt Workshops,4,84.31,601
id Software,22,84.3,635276
Flying Panjandrum / ふらいんぐパンジャンドラム,3,84.3,515
CarloC,3,84.3,310
Crema,3,84.29,43825
PikPok,4,84.29,9024
Bolverk Games,5,84.27,520
Milkstone Studios,9,84.26,38054
Abbey Games,4,84.26,11681
黄昏フロンティア,3,84.26,2798
Winged Cloud,40,84.21,39151
Oddscure,3,84.21,349
Rubicon Development,3,84.19,312
qureate,8,84.18,2868
Naughty Clogs,3,84.18,415
BottleCube inc.,4,84.17,675
Artifex Mundi,16,84.16,15639
Vixa Games,3,84.15,1022
WRF Studios,4,84.14,632
Sundae Month,3,84.12,1632
LEAP Game Studios,3,84.11,1825
Element Studios,3,84.07,3741
Madruga Works,3,84.06,27303
EpiXR Games UG,11,84.06,652
QZQ Studio,5,84.06,473
Big Loop Studios,5,84.05,5702
Stranga Games,8,84.02,3371
FirePillar2,3,83.97,765
GRASSHOPPER MANUFACTURE INC.,9,83.95,14937
ASTXRIAL Works,3,83.95,1083
Freedomize Studio,3,83.94,1549
SCS Software,15,83.92,1056271
Alice & Smith,4,83.92,3302
Enokippu,3,83.91,911
Kraken Studios,3,83.91,408
Terror Dog Studio,3,83.9,3713
Bonereaders,3,83.9,721
Silver Lemur Games,5,83.88,792
Simon Fredholm,3,83.86,4162
Larian Studios,8,83.84,1003074
Acerola,9,83.84,5844
Telltale Games,15,83.8,209053
Sinkhole Studio,3,83.78,1194
System 3,4,83.76,1512
SoftWarWare,3,83.74,3164
Unfinished Pixel,5,83.73,703
Sounding Stone / 老奉毊,5,83.71,521
游戏养家工作室,3,83.69,5025
Flying Wild Hog,8,83.68,81617
Redblack Spade,3,83.68,1263
Windybeard,5,83.67,1580
Osaris Games,3,83.66,1780
Reiza Studios,5,83.65,17043
RuneStorm,4,83.64,32601
Awoker Games,3,83.64,1335
Adi Zhavo,3,83.63,5113
Hitcents,3,83.63,2571
Rabotiagi games,5,83.62,3578
Nostalgames,4,83.62,3279
CAVYHOUSE,3,83.62,538
Spike Chunsoft Co.,20,83.61,186000
Sebasa Games,3,83.61,3035
TERNOX,5,83.59,2267
The Pixel Hunt,3,83.59,480
ManaVoid Entertainment,3,83.57,766
Arrowhead Game Studios,4,83.56,1090403
Mediatonic,6,83.54,484144
Slitherine Ltd.,7,83.54,10097
Pathea Games,5,83.53,82928
Halfbrick Studios Pty Ltd,3,83.53,4916
Eurocom,4,83.53,1828
THE BROTHERHOOD,4,83.5,6989
Lazy Monday Games,3,83.5,2875
DON'T NOD,5,83.49,16423
Steelkrill Studio,6,83.49,1616
DreamStep,3,83.49,1171
AtomTeam,3,83.47,15297
Gamious,5,83.46,20177
SUPERHOT Team,3,83.45,61040
Big Way Games,3,83.45,1858
Longbow Games,4,83.45,1670
Relic Entertainment,20,83.4,283777
Red Dot Games,4,83.39,96064
Graphite Lab,3,83.38,543
Neckbolt,3,83.37,1146
Stunlock Studios,4,83.33,188681
Alawar Entertainment,10,83.33,2869
VaragtP,7,83.3,10254
Strategy First,4,83.3,3329
Undercoders,3,83.3,286
Acram Digital,6,83.29,818
M2 Co.,5,83.28,1137
Lonhong Team,3,83.28,333
Creative Hand,3,83.28,227
Monolith Productions,7,83.27,217745
Crytek Studios,3,83.27,32349
0 Deer Soft,4,83.26,1400
Animu Game,3,83.24,3816
Han Zhiyu,3,83.24,673
Minimol Games,17,83.23,2174
Jagex Ltd,3,83.22,62073
Jutsu Games,4,83.22,39357
YAW Studios,5,83.21,740
Night School Studio,3,83.2,14648
Red Storm Entertainment,6,83.19,4309
mc2games,8,83.19,2145
WSS playground,5,83.18,53505
Undead Labs,3,83.17,92567
Techland,10,83.16,741174
NetherRealm Studios,5,83.14,241240
BlueEagle Productions,4,83.14,3137
IO Interactive A/S,4,83.13,80981
Krillbite Studio,5,83.09,32333
SukeraSomero,3,83.09,4871
Killerfish Games,3,83.06,8935
Hajime Doujin Circle,4,83.06,1018
Antler Interactive,3,83.06,223
Heart Machine,3,83.03,22521
Quantic Dream,5,83.02,224454
Playsaurus,6,83.0,80709
Over The Moon,3,83.0,6117
No.25,8,83.0,2199
Noham Games,3,83.0,806
Sandstorm Studios Inc.,3,82.97,5553
Robot Entertainment,5,82.95,51018
J.Bowman,3,82.95,1501
Artem Kotov,3,82.94,627
SUCCESS Corp.,3,82.93,217
Rogue Snail,3,82.92,8011
HeR Interactive,34,82.91,7993
Cordelia Games,4,82.9,831
Molter,3,82.88,540
Mazen Games,4,82.87,1787
Apogee Entertainment,7,82.87,873
Boogygames Studios,4,82.87,452
S.C. 16 BIT NIGHTS S.R.L.,4,82.86,2075
Growing Seeds,3,82.86,370
Vanguard Games,3,82.83,5401
11 bit studios,8,82.82,254543
Nerdook Productions,7,82.78,3472
Triple.B.Titles,3,82.77,4958
illuCalab,5,82.77,1985
RainbowStudio,4,82.76,474
Brace Yourself Games,4,82.75,32974
Phoenix Online Studios,3,82.75,2214
Reflect Studios,5,82.72,7921
Interplay Entertainment Corp.,6,82.7,796
Wolfire Games,4,82.69,15975
Crystal Game Works,4,82.69,554
Nyanco Channel,5,82.69,386
Flying Oak Games,3,82.67,3819
Apus Software,4,82.65,787
Missing Calm,3,82.61,1621
Basilisk Games,3,82.61,606
橙光游戏,10,82.6,2839
Turtle Cream,3,82.6,781
Crimsonite Games,3,82.6,734
Double Fine Productions,18,82.59,93593
Coatsink,5,82.58,17914
Strategy 3 Tactics,3,82.58,305
Brainwash Gang,5,82.57,19202
The Binary Mill,4,82.56,1314
Puppygames,5,82.55,3649
Aeternum Game Studios S.L,4,82.55,2329
Trese Brothers,5,82.54,6027
Logic Artists,4,82.53,11845
Chucklefish,3,82.51,170419
Vlambeer,5,82.5,30399
Stress Level Zero,5,82.48,55294
Unbound Creations,7,82.48,3332
Obsidian Entertainment,16,82.46,525910
Laminar Research,3,82.46,24221
CD PROJEKT RED,8,82.44,1898518
Bigosaur,5,82.44,2155
Rebellion,20,82.43,203464
Owlcat Games,3,82.43,102722
SBN3,3,82.43,14023
Digital Crafter,6,82.42,1734
Dischan Media,4,82.42,1666
QLOC,5,82.41,186914
Andrade Games,3,82.41,282
Raven Software,5,82.38,38489
Cyan Worlds Inc,8,82.37,9949
Transhuman Design,5,82.35,8984
Rionix,3,82.35,448
KHB-Soft,3,82.34,5944
Stratera Games,4,82.34,2787
FlyAnvil,3,82.33,2344
SimBin Studios AB,3,82.33,761
17-BIT,3,82.32,1409
Piranha Bytes,8,82.31,90444
Iron Tower Studio,3,82.3,7633
Toge Productions,5,82.29,16333
Robot Invader,3,82.29,718
Oddworld Inhabitants,5,82.25,9205
Party for Introverts,3,82.24,1171
BetaDwarf,3,82.23,68353
Respawn Entertainment,3,82.22,417272
TAITO CORP.,5,82.21,2173
WayForward,23,82.2,28286
Steel Mantis,3,82.2,5224
Lunarch Studios,3,82.19,4315
GameHouse,10,82.19,1013
Studio Evil,3,82.14,1320
Siberian Mouse,10,82.11,1478
Massive Entertainment,3,82.08,93669
Game Dynasty,4,82.08,851
Gamepires,3,82.07,116258
LucasArts,21,82.07,54838
Sokpop Collective,28,82.07,5762
Razzart Visual,4,82.07,3094
World-Loom,8,82.05,2293
Charlie Behan,3,82.03,1037
Mature Games,6,82.02,3661
Massive Miniteam,3,82.02,1718
Shawn Hitchcock,3,82.01,44393
Anate Studio,5,82.01,1345
Alawar Casual,8,82.0,1889
Doomster Entertainment,5,82.0,1359
Lonely Troops,11,81.99,11369
Yobob,3,81.99,435
Mario von Rickenbach,4,81.97,6983
Snail-Ninja Studio,4,81.97,1140
NovaLogic,13,81.96,3437
Kinto Games LLC,3,81.96,2585
souvenir circ.,3,81.93,648
Best Way,4,81.92,11837
Nerd Monkeys,3,81.91,582
Solecismic Software,3,81.91,569
Vertigo Gaming Inc.,5,81.89,11243
Graviteam,5,81.89,2422
SOFTSTAR ENTERTAINMENT,17,81.86,18678
Vile Monarch,8,81.84,11397
Still Running,4,81.83,2855
Failbetter Games,3,81.82,12974
M2H,3,81.82,2517
Firaxis Games,24,81.81,997299
Strategy Game Studio,5,81.79,576
Owlchemy Labs,7,81.78,9872
Alder Games,3,81.77,226
Gemdrops,4,81.75,689
Paintbucket Games,3,81.73,3704
Runner Duck,3,81.71,18491
PUMPKIM,4,81.71,11529
Sierra,7,81.7,2378
Uppercut Games Pty Ltd,4,81.67,6461
Dejobaan Games,6,81.67,3423
Holyday Studios,3,81.66,9632
People Can Fly,3,81.64,71056
Chibig,6,81.64,4496
Avalanche Studios,7,81.63,308388
Eduard Kozadaev,4,81.62,7477
Blendo Games,7,81.62,6491
CREATIVE ASSEMBLY,18,81.6,750464
Sixteen Tons Entertainment,5,81.58,4440
Grounding Inc.,3,81.58,2222
Behold Studios,4,81.54,10859
Mommy's Best Games,6,81.54,1622
Jackbox Games,26,81.48,36077
Return To Adventure Mountain,3,81.48,703
IzanagiGames,5,81.46,1300
Animation Arts,6,81.42,1823
Endlessfluff Games,3,81.39,4381
Twisted Pixel Games,3,81.39,1024
Flying Islands Team,3,81.37,682
Kwing works,3,81.36,553
Shiro Games,7,81.35,121177
Nadeo,8,81.35,37944
Bethesda Game Studios,13,81.34,1630031
Dancing Dragon Games,5,81.34,15026
MyACG Studio,4,81.34,8825
Cygames,6,81.33,79654
Fireglow,3,81.32,970
Steve Gal,5,81.31,1168
The Knights of Unity,6,81.28,10999
Wolf & Wood Interactive Ltd,4,81.27,1272
ToastieLabs,4,81.26,10629
上海烛龙信息科技有限公司,3,81.25,56056
Studio Fizbin,6,81.24,5412
MGP Studios,3,81.24,1167
Yummy Yummy Studio,3,81.24,504
Studio Oleomingus,3,81.23,453
Antti Vaihia,3,81.23,205
Crackshell,6,81.21,22688
Grimlore Games,4,81.2,12820
Keybol,3,81.19,529
SOFTSTAR TECHNOLOGY(SHANGHAI),3,81.18,2534
Marvelous Inc.,15,81.17,30650
Trickster Arts,3,81.17,695
Nippon Ichi Software,23,81.16,19976
Sumo Digital,8,81.15,52499
RandomSpin,3,81.15,659
Bulwark Studios,3,81.14,29859
Overflow,6,81.14,1632
Rain Games,5,81.13,3528
Konfa Games,3,81.12,8336
yeswecamp,3,81.12,4894
Platine Dispositif,4,81.12,868
David Moralejo Sánchez,5,81.1,9065
DOMO Studio,7,81.08,5649
bhungry,4,81.06,2132
BlueLine Games,3,81.06,559
Pyro Studios,6,81.01,10513
MyDreamForever,3,80.98,849
68k Studios,3,80.97,221
Honor Games,3,80.96,1691
Korvinrular,4,80.96,559
Perverse Games,7,80.9,979
Hero Concept,3,80.89,889
AVANTGARDE,4,80.89,883
TrerPlay,3,80.89,786
Eugen Systems,9,80.85,59171
OfficialAndy,3,80.84,4804
Perspektik,4,80.84,783
343 Industries,3,80.82,420650
PHL Collective,4,80.81,765
Idea Factory,31,80.78,36948
IPACS,3,80.77,3026
Harebrained Schemes,6,80.72,61475
Owned by Gravity,4,80.72,3671
Muzzy Lane Software,3,80.72,1012
Crystal Dynamics,11,80.7,414332
AFOG,4,80.7,8281
Brain Seal Ltd,6,80.7,1410
U-Secret Studio,3,80.68,5553
Chequered Ink Ltd.,3,80.68,226
Glowstick Entertainment,3,80.67,24510
Axel Sonic,4,80.64,657
Destructive Creations,6,80.63,35447
1C: Maddox Games,3,80.61,5560
Big Fat Simulations Inc.,5,80.6,1245
SpinTop Games,7,80.6,718
Avalanche Software,9,80.57,327469
NukGames,9,80.57,12758
Neoclassic Games,7,80.57,1559
Capcom,13,80.56,282919
Byzantine Games,4,80.56,2198
Quantized Bit,4,80.5,1427
Goosix Games,3,80.48,3464
Angry Mob Games,3,80.48,1976
yeo,3,80.47,4121
Crytek,9,80.46,326706
Hexage,4,80.42,1430
Devespresso Games,3,80.42,1429
Spearhead Games,4,80.39,9607
Beshbarmak games,3,80.37,568
VRKiwi,3,80.36,537
QUByte Interactive,6,80.34,1173
Q-Games Ltd.,5,80.29,2386
AleCubicSoft,6,80.27,1700
Totally Games,3,80.26,1360
Antizero company,3,80.25,273
Home Net Games,10,80.24,11105
Samer Khatib (Snowconesolid Productions),3,80.24,1077
Hello Games,4,80.22,368160
Bad Vices Games,3,80.22,10353
Somi,6,80.19,11803
Daedalic Entertainment,24,80.18,69980
Digital Dreams Entertainment,3,80.16,1120
Sinclair Strange,4,80.13,975
GosDev Production,3,80.12,8462
Digixart,3,80.1,23125
Pixel Puzzles,12,80.09,9246
Yai Gameworks,7,80.09,1668
Studio Saizensen,8,80.08,1493
weltenbauer. Software Entwicklung GmbH,3,80.01,18533
Nemesys Games,3,80.0,1824
绝汪,3,80.0,1642
SNK CORPORATION,22,79.97,44512
ACE Team,10,79.97,19031
Double Eleven,3,79.97,1912
Frontier Developments,14,79.95,374665
Departure Interactive,3,79.95,1285
BioWare,12,79.93,220921
Tilted Mill Entertainment,4,79.92,1629
HaDe Games,4,79.91,285
SC Jogos,13,79.9,14966
Pocketwatch Games,3,79.89,12734
Piranha Games Inc.,3,79.88,29543
The Secret Games Company,3,79.85,1676
Threaks,3,79.85,1341
One More Level,4,79.83,74104
Unexpected,4,79.82,2895
Ghost Games,3,79.81,185512
CAPCOM CO.,9,79.81,27997
Digital Eclipse,12,79.81,7262
Deceptive Games Ltd.,3,79.8,430
Peaksel,4,79.78,1569
Wave Light Games Inc.,3,79.78,439
AMPLITUDE Studios,7,79.77,95390
Almighty Games,3,79.77,2376
Atelier 801,4,79.75,32754
Panda Indie Studio,4,79.73,937
Subsoap,5,79.72,3703
SRS Games,3,79.71,1023
Arkane Studios,10,79.7,257007
Noble Master LLC,3,79.66,3586
Orcsoft,3,79.66,459
3f Interactive,3,79.65,1843
GOCORE,6,79.64,3181
Offworld,3,79.63,266237
Garage Heathen,3,79.63,3795
Noble Muffins,4,79.62,38950
Wooden Monkeys,3,79.62,1565
Digital Melody,8,79.61,16886
疯王子,3,79.61,1188
Sacada,4,79.61,576
Sobaka Studio,5,79.6,4841
Sonalysts,4,79.6,1169
Visualnoveler,4,79.59,911
Simuverse Interactive,4,79.58,3325
Terminal Reality,5,79.57,3569
Retro Army Limited,6,79.57,3029
Zloy Krot Studio,5,79.56,1483
Mega Cat Studios,8,79.54,13286
Specialbit Studio,6,79.54,1404
Battlefront,7,79.53,2000
Shorebound Studios,4,79.52,1425
MachineGames,5,79.49,150331
Konnichiwa Games,10,79.47,6534
Demagog Studio,3,79.47,1974
5minlab Corp.,4,79.45,2487
Grey Havens,3,79.43,26285
RedKar Devs,4,79.4,698
Cats Who Play,3,79.38,6622
Gua,4,79.36,4174
LRDGames,4,79.35,1174
SMG Studio,6,79.33,42781
Galvanic Games,4,79.33,5049
Urban Games,3,79.32,41851
Airship Syndicate,4,79.31,55038
Nerial,8,79.31,13877
Altar Games,3,79.31,2835
Woodsy Studio,4,79.31,278
Sirlin Games,4,79.28,2359
Starni Games,7,79.27,2532
Five BN,5,79.27,605
Core Design,6,79.26,12190
netmin games,3,79.26,265
Dotemu,10,79.25,49486
Sam Barlow,3,79.23,12641
Twilight Sonata Studio,8,79.23,2765
Mehsoft,6,79.21,2854
Infogrames,6,79.21,1703
BBQ大好き,4,79.2,692
Minor Key Games,8,79.19,9209
Puny Human,3,79.11,5985
Lavaboots Studios,3,79.09,3955
Five Mind Creations,3,79.09,687
Sierra On-Line,3,79.08,575
Vagabond Dog,4,79.06,2857
IObit,3,79.05,10658
Meng Games,7,79.05,1390
MercurySteam,5,79.01,20876
JustTomcuk,5,79.01,1025
IDEA FACTORY,13,79.0,20848
Technomancy Studios,5,79.0,1982
Ravinia,3,79.0,215
The House of Fables,8,78.96,2444
Celeritas Games,4,78.96,561
Frontline: Games Series,4,78.95,264
Empyrean,3,78.93,95423
Manic Mice,3,78.93,13315
Frozenbyte,13,78.88,95334
DevilishGames,4,78.88,534
Different Tales,4,78.86,1274
Emilios Manolidis,3,78.86,587
GameChanger Studio,4,78.85,2356
Enlight Software Limited,9,78.84,2533
Popcannibal,4,78.83,9816
Innervoid Interactive,3,78.83,1899
Passtech Games,5,78.8,28190
Ubisoft Montreal,33,78.75,3803167
G-MODE,6,78.75,1232
baron sengia,3,78.73,348
Starwind Games,3,78.73,244
Pocketpair,4,78.72,404619
Flight School Studio,5,78.71,751
Vladislav Castillo Gonzalez,3,78.7,993
I'm moralist,3,78.7,280
Xitilon,4,78.68,580
Leikir Studio,4,78.67,3484
lamb of game,5,78.65,1406
Sir-Tech,3,78.65,984
Vincent Lade,6,78.64,821
MIROWIN,8,78.62,2231
Hitbear Studio,3,78.61,456
Might and Delight,11,78.58,20761
VDO Games,3,78.55,864
DOG HOGGLER,3,78.52,3874
Ascaron Entertainment ltd.,3,78.52,2138
Extend Studio,3,78.51,1213
Mythical City Games,3,78.51,469
Team Syukino,3,78.51,196
Milky Tea Studios,3,78.49,1161
Brouillard,3,78.49,424
Outerlight Ltd.,3,78.48,7953
David Gallardo,3,78.47,1083
Kitfox Games,4,78.46,8866
Ishtar Games,4,78.42,14897
Volha,3,78.42,393
Crazy Goat Games,4,78.41,1738
2Awesome Studio,3,78.4,1073
Vertigo Games,10,78.38,19164
rokaplay,8,78.38,1026
Secret Labo,5,78.37,3319
Tin Man Games,10,78.37,2107
Lazy Bear Games,6,78.35,67682
Zhongce Games,3,78.35,1005
Far Mills,4,78.33,808
Irrational Games,3,78.29,141493
State of Play,4,78.29,4456
iFAction Studio,3,78.29,1438
DICE,11,78.27,961199
Luden.io,6,78.27,9393
K Bros Games,4,78.25,5789
MuHa Games,3,78.22,7091
Digital Reality,8,78.22,3784
Marco Amadei,5,78.21,12159
Hasoyua,4,78.2,878
Doctor Entertainment AB,4,78.18,26066
Playcademy,5,78.15,444
the Bratans,4,78.14,27699
Alientrap,8,78.14,12538
Alkemi,3,78.14,1847
RocketWerkz,4,78.13,54966
Funcom,8,78.12,131065
Campfire Studio,3,78.12,5185
Square Enix,89,78.11,686480
DRAGAMI GAMES,6,78.1,2995
Megame LLC,3,78.1,1584
Raptor Claw Games,8,78.09,2558
Sonic Team,7,78.08,61118
Weappy Studio,3,78.07,18481
Nawia Games,3,78.04,1472
Носков Сергей,3,78.0,6200
SimBin,3,78.0,3024
Darkling Room,7,78.0,1515
Archor Wright,5,77.96,553
Ion Storm,3,77.93,19292
Dymchick1,5,77.91,2089
Hack The Publisher,3,77.91,368
Dnovel,7,77.9,521
Gearbox Software,16,77.87,615488
Error 300,3,77.87,258
KAIKO,3,77.85,23409
Darkphobia Games,3,77.83,2147
Petoons Studio,4,77.83,1788
LizardFactory,3,77.83,581
Straight Back Games,3,77.81,85182
Digital Cybercherries,3,77.81,9421
DSGame,17,77.8,40360
Forceight,4,77.77,3830
Orangepixel,4,77.77,349
Size Five Games,6,77.76,3259
Hunny Bunny Studio,19,77.75,2236
A2 Softworks,4,77.73,1661
Reply Game Studios,3,77.67,3107
Tasharen Entertainment Inc.,3,77.66,4367
Standing Stone Games,3,77.6,37049
Paradox Development Studio,16,77.54,971446
Gunfire Games,5,77.52,147314
616 GAMES,12,77.51,2053
Pendulo Studios,9,77.48,10901
Digital Happiness,4,77.47,8595
Whiskeybarrel Studios,6,77.47,4722
Yuna Studio,3,77.45,338
KomBits Game Studio,3,77.45,334
Terapoly,3,77.44,2259
Nival,12,77.43,21990
Wargaming Group Limited,4,77.41,387655
PixelMouse,3,77.35,2285
Renderise,3,77.33,17291
ZHANG FAN,6,77.33,1057
Bluespy Studios,3,77.33,722
Rockstar North,4,77.32,2228709
Massive Damage,4,77.31,5342
Lance Games,3,77.31,2020
Rockstar Games,7,77.29,830155
Rainbow Studios,8,77.28,11111
Serenity Forge,8,77.26,5201
Lienzo,3,77.24,297
KOEI TECMO GAMES CO.,88,77.23,320943
Rebound CG,4,77.23,679
Unwonted Studios,3,77.19,2287
Aleksandr Golovkin,5,77.18,4507
Locked Door Puzzle,4,77.17,2195
Private Moon Studios,3,77.17,225
Volition,9,77.15,116875
Signal Studios,3,77.15,2822
Endless Loop Studios,10,77.14,7254
Infinity Ward,12,77.13,312309
1C Wireless,3,77.13,497
Ubisoft Mainz,5,77.11,28459
Agafonoff,5,77.11,22464
Marmalade Game Studio Ltd,7,77.11,11498
MagicIndie,6,77.11,1179
Proxy Studios,3,77.1,16863
Nibb Games,3,77.1,293
Pieces Interactive,3,77.04,17249
Circle Poison,4,77.02,1977
Quarlellle,9,77.02,1022
Enitvare,3,77.01,980
Muse Games,7,76.99,20299
Woblyware,3,76.99,572
Choice Provisions,6,76.98,5650
Crypton Future Media,3,76.98,1807
Pickle Drugs,3,76.97,355
SomaSim,3,76.96,6371
Milestone S.r.l.,41,76.93,65314
Cherry Pop Games,4,76.9,6418
Pastagames,3,76.9,1989
Unusualsoft,4,76.89,11403
New Bridge Games,3,76.89,248
PS Games,3,76.87,219
GexagonVR,5,76.85,6229
Flying Star Games,4,76.81,281
Duality Games,5,76.8,7212
2K Marin,3,76.76,52827
Broken Rules,4,76.76,6235
G5 Software,3,76.76,451
Casual Brothers Ltd.,3,76.75,257
Paleno Games,3,76.72,1398
Giorgi Abelashvili,4,76.66,943
Gaijin Games,6,76.65,8211
VOODOO,3,76.65,281
Ubisoft,17,76.56,279493
Asakiyumemishi,4,76.56,537
League of Geeks,3,76.52,18197
Blue Isle Studios,4,76.51,21858
Corrosive Studios LLC,4,76.46,507
Exordium Games,5,76.45,1754
KING Art,9,76.44,23378
Lovely Games,36,76.42,18293
GidAzGames,4,76.4,2052
IriySoft,3,76.4,1001
Inu to Neko,5,76.37,408
LUXO Interactive,3,76.36,787
Access Software,5,76.34,434
Bandai Namco Studios Inc.,3,76.33,144042
Purple Tree S R L,3,76.33,621
Galart,3,76.3,658
Amaranth Games,3,76.25,460
Weird and Wry,3,76.24,2597
Black Eye Games,3,76.23,2926
Burak Dabak,3,76.22,4960
FURYU Corporation,9,76.22,3573
Split Light Studio,4,76.19,704
Cybernetic Walrus,4,76.16,1188
ILLUSION,3,76.14,4422
Ratalaika Games S.L.,3,76.14,178
ClockStone,8,76.13,11703
Draw Distance,6,76.11,8881
Bitmap Bureau,4,76.11,797
Treyarch,11,76.1,1274119
Cryptic Studios,3,76.08,62912
DigiPen Europe-Bilbao,6,76.08,719
Asobo Studio,7,76.07,164711
香港商河洛互動娛樂股份有限公司,4,76.06,52658
BKOM Studios,3,76.06,1382
Room710Games,5,76.04,7452
Walnut LLC,4,76.02,7337
Goblinz Studio,5,76.01,8902
Baked Games,3,75.97,5235
Dieselmine,6,75.92,1625
Carlos Coronado,3,75.92,1010
LU QI,3,75.88,240
USERJOY Technology Co.,16,75.86,23294
NotGames,3,75.85,12397
Invisible Walls,3,75.8,6228
Red Thread Games,3,75.78,6855
FobTi interactive,6,75.78,521
Forever Entertainment S. A.,11,75.77,9039
Papaya Studio,3,75.77,742
REMIMORY,5,75.76,1534
russpuppy,5,75.74,1220
Hörberg Productions,3,75.73,1045
Bartosz Bojarowski,3,75.73,397
Herrero Games,3,75.72,374
inXile Entertainment,11,75.69,39754
BadFly Interactive,3,75.69,7169
BambuseaeGames,3,75.68,1688
MicroProse Software,18,75.67,8876
OSome Studio,6,75.66,3135
Lucas Molina,3,75.59,694
Mårten Jonsson,4,75.56,2095
Firefly Studios,9,75.54,77520
吃了就睡工作室,8,75.54,2774
Samobee Games,3,75.53,778
D'Avekki Studios Ltd,4,75.5,2673
弘煜科技事業股份有限公司,8,75.5,842
Brave Giant LTD,20,75.48,4823
Aldorlea Games,15,75.48,2220
Hyper Hippo Games,5,75.47,66576
Leonard Menchiari,3,75.46,5283
Petroglyph,11,75.44,86906
DigitalDream,4,75.38,1444
Chaosmonger Studio,3,75.34,752
Fern Nigro,4,75.28,844
Performance Artist,6,75.28,725
DarkDes Labs,3,75.26,270
Saber Interactive,13,75.23,265286
gamigo US Inc.,3,75.21,104168
Deck13,6,75.2,24213
Curve Studios,3,75.19,1560
Tortuga Team,6,75.17,5161
Frogames,3,75.15,1553
Zojoi,6,75.14,1102
BancyCo,3,75.12,1909
Alterego Games,3,75.09,276
Vladimir Maslov,7,75.07,2474
MojoTouch,3,75.07,434
City Interactive,5,75.06,28070
Gunnar Games,5,75.06,547
Quacky Games,10,75.05,1403
CleanWaterSoft,3,75.05,429
Tate Multimedia,7,75.03,12498
Ash Game Studio,3,75.03,677
RVL Games,3,75.02,1223
DRYBREAD,3,75.02,295
Bad Seed,3,74.99,682
Arrowiz,3,74.98,2189
5 Lives Studios,3,74.95,6865
PanicBarn,3,74.9,2991
Elite Lords Studios,3,74.82,413
N-Fusion Interactive,3,74.77,1133
Monster Tooth Studios,3,74.76,1219
MumboJumbo,27,74.65,4430
Fakt Software,3,74.64,10350
Saibot Studios,6,74.63,5494
Zen Studios,8,74.61,9037
Crisp App Studio,15,74.61,1445
Mutiny Software,3,74.61,873
Snap Finger Click,3,74.61,393
KONAMI,21,74.59,282596
Insane Dreamers,4,74.57,1317
Bugbyte Ltd.,3,74.56,10220
Fancy Fish Games,4,74.55,2122
Haggard Games,3,74.55,1948
Turquoise Revival Games,10,74.54,4628
KuKo,15,74.54,3959
Sigma Team Inc.,12,74.53,14002
PreoNus Games,5,74.53,1103
Climax Studios,7,74.5,7946
Frima Studio,4,74.49,4521
Microids Studio Paris,3,74.48,4654
Ubisoft Blue Byte,3,74.48,2327
Misc Games,3,74.47,7025
Beijing Litchi Culture Media Co.,3,74.45,7313
T-Time Technology CO.,9,74.45,1803
IllFonic,5,74.41,10282
Cleversan Games,3,74.38,5376
Serkan Bakar,4,74.38,885
24Frame,3,74.37,1225
Xigma Games,3,74.37,676
Team17 Digital Ltd,14,74.35,39273
W0nnaFight,3,74.34,219
Arc System Works,29,74.3,188325
SHADE Inc.,4,74.3,2003
Triangle Studios,3,74.24,2769
AIVIK LLC,4,74.24,522
Autarca,3,74.24,376
Ubisoft Paris,3,74.23,134754
Games Incubator,16,74.21,13657
1C Game Studios,3,74.19,12335
Triverske,3,74.18,1181
Ronimo Games,4,74.16,29299
URSE Games,4,74.16,705
Atypical Games,4,74.13,2567
Burut CT,4,74.13,1032
Fulqrum Publishing,14,74.1,11988
Sicarius,3,74.08,1084
DesktopMMD Team,3,74.07,1277
attic Entertainment Software GmbH,3,74.07,303
Creobit,21,74.06,3796
DEKLAZON,3,74.03,444
Kazakov Oleg,8,74.0,6234
PlatSTUDIO,3,73.99,1648
Carbon Games,3,73.96,11280
EA Los Angeles,5,73.94,38451
Every Single Soldier,4,73.94,1948
Eidos-Montréal,22,73.91,458432
ENTERi,3,73.91,1287
Bloober Team SA,7,73.88,79570
Rainbow Games,8,73.86,779
NedoStudio,5,73.86,775
ONEONE1,3,73.85,2255
FastGame,4,73.82,703
Aspyr,9,73.8,22315
Phr00t's Software,7,73.8,2088
Nomad Games,10,73.78,12270
Question,3,73.74,8053
Considera Games LLC,3,73.74,1978
The Fox Knocks,3,73.73,2845
Massive Galaxy Studios,3,73.69,672
Apeiron,3,73.67,1315
Corbie Games,3,73.66,3280
CubeCube Sports Ltd.,3,73.65,2648
Laush Dmitriy Sergeevich,36,73.64,3860
SeedWall,7,73.63,5825
SEGA,14,73.62,123131
The Chinese Room,5,73.6,27359
Secret Base,4,73.6,1653
Cult Software,4,73.59,505
Labyrinthine,3,73.58,2774
JanduSoft,5,73.54,2818
Troglobytes Games,5,73.54,1366
WindThunder Studio,3,73.53,1685
