developer,total_games,avg_positive_review_percentage,total_reviews
Secret Exit Ltd.,3,92.62,6620
feng,3,92.62,293
2.21,4,92.58,2064
Flat Cat Games,3,92.58,1236
Looking Glass Studios,4,92.56,8086
Bugbear Entertainment,3,92.55,30794
ustwo games,5,92.53,24752
WanadevStudio,3,92.52,9365
Navel,5,92.5,5557
凝冰剑斩,8,92.5,1991
Majorariatto,5,92.49,7472
EXOR Studios,3,92.48,25928
BeXide Inc.,5,92.47,2235
maou,3,92.47,197
AKATSUKI-WORKS,3,92.46,1554
Jon Nielsen,3,92.45,945
Nifty Visuals,3,92.4,1054
Nitroplus,3,92.37,13178
Bullfrog Productions,3,92.37,1814
Asmodev,4,92.35,1772
Blobfish,4,92.34,98589
2ndBoss,4,92.34,400
Lil Hentai Games,8,92.32,14116
Cosmic Void,4,92.3,443
KO_OP,3,92.29,2895
Pinhead Games,3,92.29,293
@unepic_fran,5,92.27,13846
Narrator,6,92.27,934
Phaser Lock Interactive,3,92.2,927
FYQD-Studio,3,92.18,71506
Doborog Games,3,92.14,36884
PiBoSo,3,92.13,29345
Studio Pixel,3,92.1,3164
AZARASHI SOFTWARE,3,92.09,584
ENIGMA STUDIO,3,92.05,812
MOONSTONE,5,92.0,2310
Frontwing,31,91.99,30954
Adamvision Studios,15,91.98,13224
Shimobashira Workshop,3,91.93,6093
Mimimi Games,5,91.92,61946
△○□× (Miwashiba),3,91.92,6412
Cosmo D,3,91.92,3501
4H StudioLab,3,91.91,1133
Marc Zimmermann,3,91.91,785
Pillow Fight,4,91.9,1987
MagicalTimeBean,3,91.88,1183
Drinkbox Studios,5,91.87,22903
Liar-soft,5,91.87,2616
FHNBHJ,4,91.87,771
Five Percents,5,91.86,388
Amanita Design,8,91.85,47892
Nova-box,4,91.84,699
Watercress,3,91.84,527
二色幽紫蝶,4,91.83,31410
Croteam,13,91.82,123958
Blue Wizard Digital,5,91.79,7673
Google Inc.,8,91.79,1219
AQUAPLUS,5,91.77,5284
Impressions Games,6,91.74,8321
Cloak and Dagger Games,6,91.7,5496
Onion Games,4,91.67,512
Thomas K. Young,4,91.64,500
FreezyCat,4,91.6,1629
Gagonfe,8,91.59,1922
Inverse Game,3,91.58,7226
Lateralis Heavy Industries,3,91.58,3561
Erik Asmussen,3,91.55,9270
Artless Games,3,91.54,1606
NovaSoft Interactive Ltd.,4,91.51,1020
TaleWorlds Entertainment,4,91.5,450802
Cellar Door Games,3,91.42,35765
Kittehface Software,3,91.42,699
Massive Monster,3,91.41,105251
Bitwave Games,6,91.36,550
Bean Boy Games,3,91.36,293
Jump Over The Age,3,91.33,11688
Studio Goya,9,91.32,1449
Ithaqua Labs,4,91.3,693
MythicOwl,4,91.28,1901
Two Point Studios,3,91.26,45783
Kyle Seeley,3,91.26,43987
Zachtronics,15,91.23,30713
KOGADO STUDIO,8,91.23,2754
冷笑黑妖,9,91.18,4377
Simon Eftestol,5,91.18,1046
HFRK.,3,91.18,588
Image & Form Games,5,91.17,26614
HeartCoreDev,3,91.17,1097
pixel games SARL-S,4,91.17,598
Andymente,3,91.13,613
White Blanket Games,8,91.11,5282
Crankage Games,4,91.11,603
Moon Studios GmbH,4,91.1,311614
Dojin Otome,3,91.1,31924
Colorgrave,3,91.06,844
Yunus Ayyildiz,5,91.04,2520
Truant Pixel,3,91.04,420
Clarity Games,3,91.03,784
Bone Nail,3,91.0,13676
Fantasia Studio,3,90.94,599
The Game Kitchen,5,90.93,69143
DakeCraft,3,90.93,468
Blue Brain Games,4,90.92,9663
Spytihněv,4,90.92,5956
Moonbit,6,90.92,2582
ARVORE,3,90.9,435
Terrible Toybox,3,90.89,13065
Frictional Games,6,90.88,103788
Zetsubou,7,90.83,1060
Hanako Games,8,90.81,9215
Mango Protocol,4,90.8,1780
peakvox,3,90.76,1098
Mana Games,4,90.74,2216
Psyop,3,90.73,18873
Fallen Tree Games Ltd,8,90.72,9386
Roope Tamminen,3,90.71,3132
K-D Lab,3,90.71,1638
Hijong Park,4,90.71,479
InnerspaceVR,5,90.7,2217
4A Games,3,90.65,302378
Runic Games,3,90.65,56540
Shiv,3,90.64,980
NEKOTOKAGE GAMES,3,90.64,508
Desert Fox,4,90.63,3510
Landfall,7,90.61,292297
What Pumpkin Games,4,90.57,7812
Perfectly Paranormal,3,90.57,3954
Cuddle Code,3,90.56,753
Noio,3,90.55,36043
Magenta Factory,5,90.53,3839
Sigyaad Team,12,90.51,6663
Sam Atlas,3,90.51,205
Spicy Tails,4,90.49,1562
Vector Unit,3,90.48,1570
foolsroom,4,90.47,1602
Argent Games,4,90.47,1055
18Light Game Ltd.,3,90.45,2224
Hollowings,5,90.44,3176
Old Skull Games,4,90.44,501
Just Sauce Studio,3,90.44,384
kido,3,90.43,560
FRENCH-BREAD,5,90.42,21067
Explosive Squat Games,3,90.41,8346
Thylacine Studios,5,90.4,3769
Dr. Cyril Splutterworth,3,90.4,239
BrainGoodGames,3,90.38,585
Galactic Geckon,8,90.37,819
KaleidoGames,3,90.36,245
Flamebait Games,3,90.35,8652
Breakfall,3,90.33,994
Knuckle Cracker,6,90.3,12280
Grey Alien Games,7,90.29,2821
Die Gute Fabrik,3,90.29,1398
Potata Company,4,90.28,559
SEEP,8,90.26,752
Alastair John Jack,3,90.24,2759
Ryu Ga Gotoku Studio,16,90.23,237147
Turbo Button,3,90.23,254
Sad Panda Studios,3,90.22,35915
NanningsGames,3,90.21,2838
GZ Storm,8,90.21,1042
Yangyang Mobile,4,90.2,3901
Dynamic Games,3,90.2,718
Primula,5,90.19,2663
Nihon Falcom,41,90.18,67351
Kujirabo。,3,90.15,939
Mi'pu'mi Games GmbH,3,90.14,2434
Loren Lemcke,3,90.1,3492
Stormregion,3,90.06,881
Mana Potion Studios,3,90.04,7925
WildTangent,4,90.04,5584
Frinky,3,90.03,4349
MDickie,9,90.0,4700
Google,5,89.98,5722
Gustav,5,89.98,2116
Last Day of Work,6,89.96,752
Klei Entertainment,12,89.95,786399
GB Patch Games,4,89.95,13621
increpare games,3,89.95,2234
Green Lava Studios,5,89.92,3953
Team GZ,3,89.91,482
Maestro Cinetik,4,89.9,975
Deep Green Games,3,89.9,263
DreadXP,4,89.89,1746
Qute,4,89.87,713
doinksoft,3,89.8,6607
selenophobia,3,89.8,365
Frogsong Studios,3,89.79,1692
Quiet River,25,89.74,71578
Jesse Makkonen,6,89.73,18432
Butterscotch Shenanigans,3,89.73,8851
Asteroid Game Studio,3,89.72,5193
致意,8,89.72,4092
Akiragoya,3,89.72,1580
Kodo Linija,3,89.7,1705
Nikolai Usachev,4,89.7,904
Deer Dream Studios,3,89.67,1676
Black Pants Studio,3,89.66,5207
Coffee Stain Studios,6,89.63,320363
Northway Games,4,89.62,6232
Supra Games,3,89.61,19890
Adam Travers,3,89.6,938
Manic Hyena,5,89.59,2266
Qumaron,10,89.59,862
Alec Smith,3,89.58,1215
Facepunch Studios,4,89.57,2389733
YETU GAME,4,89.56,9795
Uri Games,4,89.56,1858
Colestia,3,89.53,934
Salmi Games,4,89.53,538
Minicactus Games,7,89.49,826
Authogin,4,89.49,611
Ben 'Yahtzee' Croshaw,3,89.47,1215
Circus,3,89.45,338
Studio Amateur,3,89.43,4422
Black Eyed Priest,3,89.42,2547
MoeNovel,8,89.41,8461
Ogre Pixel,3,89.41,678
Peach Rain,3,89.4,305
Angry Demon Studio,3,89.39,4329
TOKYOTOON,4,89.37,7693
MaxEstLa,3,89.36,4698
Steppe Hare Studio,8,89.35,6226
SkyGoblin,4,89.34,2392
Game Science,3,89.33,1161869
The Men Who Wear Many Hats,3,89.33,5586
Brinemedia,4,89.32,433
Tango Gameworks,4,89.3,111212
D-Pad Studio,3,89.29,9063
Oleg Skutte,3,89.28,18317
KDream,3,89.28,1203
Outer Brain Studios,3,89.27,1034
Calappa Games,4,89.25,1955
PUNKCAKE Delicieux,3,89.24,6542
The Wild Gentlemen,3,89.23,2830
David Szymanski,11,89.22,43980
Akhir Pekan Studio,4,89.21,1473
Spicy Gyro Games,3,89.21,301
Flow Fire Games,3,89.2,17435
2by3 Games,3,89.19,1110
Nementic Games,3,89.18,291
Io-Interactive A/S,4,89.17,77023
OVERDRIVE,3,89.17,3372
琉璃花糖制作组,5,89.17,1536
Kuro Irodoru Yomiji,3,89.17,488
Messhof,3,89.16,9243
Cozy Bee Games,5,89.15,6009
Robot Gentleman,3,89.14,32135
Funselektor Labs Inc.,3,89.13,8950
MinMax Games Ltd.,5,89.12,9940
Traveller's Tales,14,89.11,140034
Terri Vellmann,4,89.09,9044
Paul Bird,3,89.05,3118
Elf Games,3,89.04,2572
Accidental Queens,3,89.03,3873
Suricate Software,6,89.02,565
Bombservice,3,89.0,16495
Moonana,3,89.0,1268
Michaela Laws,4,88.98,2806
AZAMATIKA,6,88.97,5222
Two Star Games,5,88.9,21376
Zeboyd Digital Entertainment LLC,5,88.88,6299
Cartboard Games,3,88.88,1233
Headware Games,3,88.85,2076
Voxel Bytes,3,88.85,438
Love Conquers All Games,4,88.81,3499
NEXT Studios,6,88.8,54612
Temple Gates Games,4,88.8,2634
EXPERIENCE,4,88.78,1038
Unknown Worlds Entertainment,6,88.77,435631
Double W,5,88.77,20224
Daniele Doesn't Matter,5,88.76,375
Hollow Ponds,5,88.74,1792
Illwinter Game Design,8,88.73,7379
PixelGreeds,5,88.72,1262
iMel,5,88.7,959
Purple Software,4,88.7,495
FromSoftware,7,88.69,2096434
SITER SKAIN,3,88.67,574
Fading Club,3,88.66,4041
Krome Studios,6,88.65,6340
TimeGate Studios,3,88.64,511
あみそ組,4,88.63,1411
Nightdive Studios,13,88.62,29069
Crew Lab,15,88.61,6121
Konstructors,11,88.6,9947
Naoka Games,5,88.58,357
Vaka Game Magazine,10,88.54,7479
Sleepy Duck,3,88.49,2953
Dingo Games,4,88.45,1851
MyDearest Inc.,3,88.45,804
Llamasoft Ltd.,5,88.45,633
VR Designs,6,88.44,2161
Crows Crows Crows,4,88.41,43804
Insomniac Games,6,88.39,202503
Spiderweb Software,17,88.37,4697
Klace,3,88.36,1403
Clymenia,3,88.35,2770
Jundroo,4,88.32,14140
TreeFortress Games,3,88.32,2458
Monster Games,4,88.32,746
caiys,8,88.28,6643
Love in Space,6,88.28,5416
Nicalis,5,88.23,352932
Redbeak Games,3,88.23,967
Valve,35,88.21,15688937
DYA Games,5,88.15,3596
Rolling Crown,5,88.14,1309
SIGONO INC.,4,88.12,12175
Heartbit Interactive,5,88.12,3192
Graverobber Foundation,4,88.12,522
Sprite Hills,4,88.11,704
Cranberry Production,3,88.1,1272
MuccyGames,3,88.07,565
FreakZone Games,6,88.06,5083
SpoocleMacBoogle,3,88.06,399
Mens Sana Interactive,19,88.04,2500
Planet Moon Studios,3,88.02,637
InvertMouse,10,88.01,3753
Hyperstrange,6,88.0,16802
Zanardi and Liza,3,87.98,1102
FM Studio,5,87.98,762
Fractal Projects,4,87.96,2601
Rising Moon Games,7,87.95,923
CyberConnect2 Co. Ltd.,6,87.94,179436
aNCHOR Inc.,12,87.92,6669
Score Studios LLC,3,87.92,359
World's Edge,5,87.9,322322
Kenny Sun,5,87.89,976
Mad Mimic,4,87.88,1999
Critical Games,3,87.86,540
Fatbot Games,3,87.85,1362
Fury Software,5,87.83,1657
Rusty Moyher,5,87.82,713
David Pateti,4,87.8,425
Soulwarmers Games,3,87.8,216
Bedtime Digital Games,5,87.79,10384
Tegridy Made Games,3,87.79,444
Two Tribes,5,87.76,7607
Repa Games,3,87.76,798
Renka,5,87.74,1502
Triband,3,87.73,5013
Hothead Games,6,87.73,2759
Strange Scaffold,10,87.72,8291
零创游戏(ZerocreationGame),4,87.7,60017
Eggcode,3,87.7,11866
埋月山枯,4,87.67,757
Cold Beam Games,4,87.62,10923
Monster Couch,3,87.6,10933
Melos Han-Tani,5,87.6,2999
Gamechuck,4,87.6,793
Hosted Games,32,87.56,4750
Elden Pixels,3,87.56,1464
Abyte Entertainment,3,87.55,5325
Samurai Punk,6,87.55,3838
Flippfly LLC,3,87.54,7525
Maxis,4,87.53,171447
Telltale,13,87.5,66773
Stray Fawn Studio,5,87.5,15931
Walter Machado,15,87.5,5956
Charm Games,3,87.5,1217
Agelvik,4,87.5,473
Blue Tea Games,3,87.5,217
Dire Wolf,13,87.49,19961
Blazing Planet Studio,7,87.49,3324
MorfeoDev,3,87.49,945
Allegorithmic,3,87.47,514
熊窝dodox,6,87.46,8312
N4bA,4,87.44,5496
Running With Scissors,4,87.42,145665
Compulsion Games,3,87.42,21338
Matthew Brown,10,87.41,16186
Rogueside,8,87.41,15495
Pilgrim Adventures,14,87.39,7366
Hello There Games,5,87.39,6124
neko.works,3,87.39,541
Nitreal,3,87.37,195
FIVE-BN GAMES,25,87.36,15375
Scumhead,8,87.35,3380
Playful Corp.,4,87.34,32360
Alawar,11,87.32,22550
ZERO5GAMES,7,87.32,969
Con Artist Games,3,87.31,8823
TALESSHOP Co.,11,87.3,8554
Ty Taylor,3,87.3,6511
Total Mayhem Games,5,87.29,94392
Pixelatto,5,87.28,19265
TIKIPOD,4,87.28,682
Brimstone,4,87.28,421
Sports Interactive,12,87.26,136000
橘子班,8,87.26,11733
ebi-hime,19,87.26,5380
Fishing Cactus,5,87.22,7675
Ritual Entertainment,3,87.16,2235
Orange_Juice,9,87.14,32021
Leslaw Sliwko,6,87.14,1421
LuuuLuuuL,10,87.14,871
Aluba Van+,3,87.12,19478
Baba Yaga Games,3,87.1,1644
Stately Snail,7,87.06,2749
ATLUS,14,87.05,310912
Squiddershins,3,87.04,856
Naku Kinoko,4,87.03,648
Deconstructeam,5,87.02,21031
Professional Villains,3,86.99,455
Clever Plays,3,86.96,10531
Beamdog,7,86.95,48605
Capybara Games,4,86.95,2861
Bithell Games,6,86.94,13295
Erotes Studio,4,86.94,1040
Jetdogs Studios,19,86.93,15913
Wormwood Studios,3,86.93,4355
Blue Giraffe,5,86.93,1678
Cloudhead Games Ltd.,5,86.92,7489
Musa GUNGOR,3,86.92,174
Pyrozen,3,86.88,178
Toys for Bob,3,86.86,23871
Ninja Kiwi,8,86.85,419834
eTIRUe,7,86.85,3582
Studio Bean,5,86.84,1554
AIHASTO,5,86.82,112255
Kairosoft Co.,48,86.81,9780
Grundislav Games,3,86.81,1341
Cococucumber,3,86.81,778
NatsumeAtari,6,86.8,3842
MonsterAttack,3,86.8,1095
Naughty Dog LLC,3,86.79,134318
Sluggerfly,3,86.78,8050
Terrible Posture Games,4,86.78,3442
Team17,4,86.71,58284
Pixeljam,9,86.67,4381
Zach Tsiakalis-Brown,4,86.67,4204
isTom Games Kft.,3,86.67,2304
YCJY Games,4,86.65,14807
Dynamic Pixels,7,86.64,36552
Illusion Softworks,3,86.63,16300
Antonio Freyre,6,86.63,978
Rocket Boy Games,4,86.63,508
Humongous Entertainment,32,86.62,7827
Reflections,3,86.61,8974
inkle Ltd,9,86.61,6466
Post Mortem Pixels,3,86.61,601
Niffler Ltd.,3,86.6,1234
Revmatek,5,86.59,2650
Awesome Games Studio,6,86.58,32466
SECRET CHARACTER,3,86.58,560
Toxic Games,3,86.53,3659
A Sharp,3,86.53,1118
Creepy Brothers,7,86.52,6777
8BitSkull,3,86.52,1400
Proton Studio Inc,3,86.5,6022
Aether Studios,3,86.48,43724
Neat Corporation,4,86.47,3099
Buka Development,3,86.43,1664
Dylan Fitterer,3,86.42,19672
Kokutou Umeboshi,3,86.42,599
Funktronic Labs,5,86.41,1985
Rocksteady Studios,7,86.4,323965
Maschinen-Mensch,3,86.4,8201
Moonlit Works,4,86.38,8927
New World Interactive,3,86.37,273844
Deep Root Interactive,4,86.37,4690
DONTNOD Entertainment,6,86.35,272153
Haydee Interactive,3,86.35,8338
Wix Games,6,86.35,1486
Futurtech,3,86.35,603
ASTRO PORT,9,86.32,1507
PRODUKTIVKELLER Studios,3,86.32,1092
Sean Young,3,86.31,17961
